model,model_label,snr_db,examples,accuracy,macro_f1
logistic_regression,Logistic Regression,-6.0,197,0.3350253807106599,0.3308116886009288
logistic_regression,Logistic Regression,0.0,200,0.45,0.4381459892347964
logistic_regression,Logistic Regression,6.0,208,0.5865384615384616,0.5572381031729028
logistic_regression,Logistic Regression,12.0,203,0.6600985221674877,0.6810019409744753
logistic_regression,Logistic Regression,18.0,192,0.6822916666666666,0.6520424818230038
random_forest,Random Forest,-6.0,197,0.299492385786802,0.2888384497823161
random_forest,Random Forest,0.0,200,0.415,0.4233227692038856
random_forest,Random Forest,6.0,208,0.6298076923076923,0.6056382463688369
random_forest,Random Forest,12.0,203,0.7093596059113301,0.7278464040964041
random_forest,Random Forest,18.0,192,0.78125,0.7601870455838817
rbf_svm,RBF-SVM,-6.0,197,0.2893401015228426,0.2906543285303959
rbf_svm,RBF-SVM,0.0,200,0.43,0.4275348533366054
rbf_svm,RBF-SVM,6.0,208,0.5769230769230769,0.5662060370314946
rbf_svm,RBF-SVM,12.0,203,0.729064039408867,0.7402343481592633
rbf_svm,RBF-SVM,18.0,192,0.6927083333333334,0.6741117095375673
iq_cnn,Raw-IQ CNN,-6.0,197,0.4010152284263959,0.3367101672229174
iq_cnn,Raw-IQ CNN,0.0,200,0.475,0.4156218594597946
iq_cnn,Raw-IQ CNN,6.0,208,0.6442307692307693,0.5413399157785577
iq_cnn,Raw-IQ CNN,12.0,203,0.5862068965517241,0.5166074195127122
iq_cnn,Raw-IQ CNN,18.0,192,0.6145833333333334,0.5445261178788084
