epoch,train_loss,model,condition,examples,accuracy,macro_f1
1,1.6176834929784139,iq_cnn,heldout_clean,4000,0.382,0.2707231287627765
2,1.2598895152409872,iq_cnn,heldout_clean,4000,0.461,0.4030816571079374
3,1.1763549194335938,iq_cnn,heldout_clean,4000,0.4805,0.4344873004402766
4,1.1305452248255412,iq_cnn,heldout_clean,4000,0.48025,0.4246887652127007
5,1.102333639462789,iq_cnn,heldout_clean,4000,0.535,0.5181325267882859
6,1.0437534214655557,iq_cnn,heldout_clean,4000,0.517,0.473105479522104
7,0.9597009706497193,iq_cnn,heldout_clean,4000,0.57,0.5079328007164069
8,0.905427296479543,iq_cnn,heldout_clean,4000,0.578,0.5460413715322737
9,0.8785291026433308,iq_cnn,heldout_clean,4000,0.57325,0.5705654720129634
10,0.8608018925984701,iq_cnn,heldout_clean,4000,0.576,0.5628739343431546
11,0.8532618848482768,iq_cnn,heldout_clean,4000,0.5565,0.5479184178102985
12,0.8522778941790263,iq_cnn,heldout_clean,4000,0.569,0.5299204753819418
13,0.8366215747197469,iq_cnn,heldout_clean,4000,0.58775,0.5823838617558792
14,0.830635938167572,iq_cnn,heldout_clean,4000,0.601,0.5840609885672484
15,0.82698930311203,iq_cnn,heldout_clean,4000,0.5615,0.5129657078637893
16,0.81357684024175,iq_cnn,heldout_clean,4000,0.5925,0.5672812294427323
17,0.8094327039718628,iq_cnn,heldout_clean,4000,0.58325,0.5561754229300159
18,0.7990854495366414,iq_cnn,heldout_clean,4000,0.6025,0.5690998369393532
19,0.7933445280392964,iq_cnn,heldout_clean,4000,0.58925,0.5568151102516905
20,0.7872553071975708,iq_cnn,heldout_clean,4000,0.57175,0.5312944482523692
21,0.7828946019808452,iq_cnn,heldout_clean,4000,0.57525,0.5104382497391191
22,0.7752714904149374,iq_cnn,heldout_clean,4000,0.57825,0.5263418295896289
23,0.7700351382891337,iq_cnn,heldout_clean,4000,0.61575,0.6175926811492941
24,0.7482494959831237,iq_cnn,heldout_clean,4000,0.585,0.5515286306929232
25,0.7319358839988709,iq_cnn,heldout_clean,4000,0.56325,0.517174172736613
26,0.722857875029246,iq_cnn,heldout_clean,4000,0.61675,0.5849307987050525
27,0.7153863754272461,iq_cnn,heldout_clean,4000,0.604,0.5569498583469434
28,0.6977333493232727,iq_cnn,heldout_clean,4000,0.6165,0.6025942481599427
29,0.6817384131749471,iq_cnn,heldout_clean,4000,0.6185,0.6192234470844025
30,0.6665836052894593,iq_cnn,heldout_clean,4000,0.60575,0.5781222202146914
31,0.655217078367869,iq_cnn,heldout_clean,4000,0.645,0.604614739833058
32,0.6405375286738078,iq_cnn,heldout_clean,4000,0.60325,0.600448256706401
33,0.6415116222699483,iq_cnn,heldout_clean,4000,0.63975,0.6211481953468061
34,0.6290524242719014,iq_cnn,heldout_clean,4000,0.59575,0.5741206749254492
35,0.6147009561856588,iq_cnn,heldout_clean,4000,0.6535,0.6232038204875396
36,0.6079716741243998,iq_cnn,heldout_clean,4000,0.61475,0.5908163476457533
37,0.6025415000915527,iq_cnn,heldout_clean,4000,0.6345,0.6361770634661477
38,0.593206759929657,iq_cnn,heldout_clean,4000,0.56925,0.5456803160510085
39,0.603497088432312,iq_cnn,heldout_clean,4000,0.63975,0.6349456511665115
40,0.5922700602213542,iq_cnn,heldout_clean,4000,0.63075,0.6112767247384507
