epoch,train_loss,model,condition,examples,accuracy,macro_f1
1,1.6580830011367798,iq_cnn,heldout_clean,1000,0.309,0.20960081660737773
2,1.304722017288208,iq_cnn,heldout_clean,1000,0.412,0.3527338883127325
3,1.2287397492726644,iq_cnn,heldout_clean,1000,0.473,0.42227587359748375
4,1.1794886633555095,iq_cnn,heldout_clean,1000,0.458,0.4046301758611768
5,1.1507896607716879,iq_cnn,heldout_clean,1000,0.471,0.41856772233768247
6,1.115585425376892,iq_cnn,heldout_clean,1000,0.459,0.3731830988158826
7,1.0854788138071696,iq_cnn,heldout_clean,1000,0.47,0.3978881839036226
8,1.0563939844767252,iq_cnn,heldout_clean,1000,0.493,0.4292905043253178
9,0.9967784090042114,iq_cnn,heldout_clean,1000,0.52,0.44933183076592037
10,0.9473140211105346,iq_cnn,heldout_clean,1000,0.529,0.49938820447567633
11,0.9061030292510986,iq_cnn,heldout_clean,1000,0.532,0.48681231551895054
12,0.8645672535896302,iq_cnn,heldout_clean,1000,0.533,0.4508454281644467
13,0.8542606999079386,iq_cnn,heldout_clean,1000,0.454,0.3790261093419284
14,0.8359807443618774,iq_cnn,heldout_clean,1000,0.495,0.43539628969640704
15,0.8152587943077088,iq_cnn,heldout_clean,1000,0.54,0.4724595604267168
16,0.8006961978276571,iq_cnn,heldout_clean,1000,0.556,0.5263237153659606
17,0.789524260520935,iq_cnn,heldout_clean,1000,0.502,0.4063963791450842
18,0.7735267465909322,iq_cnn,heldout_clean,1000,0.545,0.46332224873976047
