model,train_size_per_class,total_train_samples,seed,accuracy,macro_f1
Logistic Regression,5,40,0,0.175,0.14148767595970127
Random Forest,5,40,0,0.15833333333333333,0.14328054228320203
RBF-SVM,5,40,0,0.17291666666666666,0.1233011614587953
QFM-Kernel SVM,5,40,0,0.12291666666666666,0.12069091596280276
Logistic Regression,5,40,1,0.18958333333333333,0.1719580652977724
Random Forest,5,40,1,0.16458333333333333,0.1550689232045252
RBF-SVM,5,40,1,0.18125,0.16167398936360644
QFM-Kernel SVM,5,40,1,0.14166666666666666,0.1373764995085133
Logistic Regression,5,40,2,0.11458333333333333,0.09166199668988768
Random Forest,5,40,2,0.125,0.1215702945827041
RBF-SVM,5,40,2,0.14166666666666666,0.08721382745298206
QFM-Kernel SVM,5,40,2,0.12916666666666668,0.12242338751545297
Logistic Regression,5,40,3,0.17291666666666666,0.14480548609860044
Random Forest,5,40,3,0.16458333333333333,0.16013879817899646
RBF-SVM,5,40,3,0.1625,0.12350808183890402
QFM-Kernel SVM,5,40,3,0.12708333333333333,0.11910842733467408
Logistic Regression,5,40,4,0.16458333333333333,0.15631925013271833
Random Forest,5,40,4,0.15,0.13770675053810386
RBF-SVM,5,40,4,0.1625,0.14743711958467595
QFM-Kernel SVM,5,40,4,0.125,0.12328233308096989
Logistic Regression,10,80,0,0.15,0.13965390903362196
Random Forest,10,80,0,0.14791666666666667,0.13675021492555933
RBF-SVM,10,80,0,0.16875,0.1488154963987683
QFM-Kernel SVM,10,80,0,0.12708333333333333,0.12613703483725142
Logistic Regression,10,80,1,0.16875,0.15442606286090577
Random Forest,10,80,1,0.1625,0.1643685525614244
RBF-SVM,10,80,1,0.17708333333333334,0.14749071847858936
QFM-Kernel SVM,10,80,1,0.14166666666666666,0.13856650180627433
Logistic Regression,10,80,2,0.1625,0.15110983702686887
Random Forest,10,80,2,0.1875,0.18501758195053988
RBF-SVM,10,80,2,0.175,0.1453853984718331
QFM-Kernel SVM,10,80,2,0.12291666666666666,0.11962876722671359
Logistic Regression,10,80,3,0.175,0.15744757019783243
Random Forest,10,80,3,0.21041666666666667,0.20325413352986882
RBF-SVM,10,80,3,0.20833333333333334,0.19413631026473713
QFM-Kernel SVM,10,80,3,0.12916666666666668,0.12804510423290277
Logistic Regression,10,80,4,0.15416666666666667,0.12347085826680296
Random Forest,10,80,4,0.18125,0.1860515150498491
RBF-SVM,10,80,4,0.17291666666666666,0.1705164842970802
QFM-Kernel SVM,10,80,4,0.14375,0.14075995608869946
Logistic Regression,20,160,0,0.16041666666666668,0.15016239377760715
Random Forest,20,160,0,0.19583333333333333,0.19531958093732743
RBF-SVM,20,160,0,0.17708333333333334,0.17390448484334672
QFM-Kernel SVM,20,160,0,0.11041666666666666,0.10986815767229773
Logistic Regression,20,160,1,0.1875,0.17689758249188206
Random Forest,20,160,1,0.2125,0.20778231790872373
RBF-SVM,20,160,1,0.19791666666666666,0.1992073755561124
QFM-Kernel SVM,20,160,1,0.09791666666666667,0.09644876353396273
Logistic Regression,20,160,2,0.17708333333333334,0.16736139761476965
Random Forest,20,160,2,0.20416666666666666,0.20711482226292166
RBF-SVM,20,160,2,0.19791666666666666,0.18385903535240045
QFM-Kernel SVM,20,160,2,0.13333333333333333,0.13201403211958562
Logistic Regression,20,160,3,0.15208333333333332,0.13362891434885063
Random Forest,20,160,3,0.19166666666666668,0.18677341606623193
RBF-SVM,20,160,3,0.18958333333333333,0.1466235178314939
QFM-Kernel SVM,20,160,3,0.15,0.14634245802807347
Logistic Regression,20,160,4,0.16875,0.1497935118331113
Random Forest,20,160,4,0.18541666666666667,0.18469239723208034
RBF-SVM,20,160,4,0.19166666666666668,0.17298119455869942
QFM-Kernel SVM,20,160,4,0.12083333333333333,0.12002807920378185
Logistic Regression,50,400,0,0.15416666666666667,0.14536191416129052
Random Forest,50,400,0,0.26875,0.260277912768873
RBF-SVM,50,400,0,0.23541666666666666,0.23605820293000768
QFM-Kernel SVM,50,400,0,0.12291666666666666,0.12157303428491159
Logistic Regression,50,400,1,0.1375,0.12523175525993646
Random Forest,50,400,1,0.2604166666666667,0.26330583289644216
RBF-SVM,50,400,1,0.20833333333333334,0.21626326160204495
QFM-Kernel SVM,50,400,1,0.13125,0.1298382485141623
Logistic Regression,50,400,2,0.13125,0.1262253085840181
Random Forest,50,400,2,0.23541666666666666,0.23690965859848176
RBF-SVM,50,400,2,0.225,0.2294924748687262
QFM-Kernel SVM,50,400,2,0.11666666666666667,0.11580650928997382
Logistic Regression,50,400,3,0.17083333333333334,0.15442983025718743
Random Forest,50,400,3,0.2375,0.23150930256966396
RBF-SVM,50,400,3,0.23125,0.22505770282448445
QFM-Kernel SVM,50,400,3,0.12291666666666666,0.12175860549409848
Logistic Regression,50,400,4,0.18333333333333332,0.17064191041106347
Random Forest,50,400,4,0.2520833333333333,0.2503159373231713
RBF-SVM,50,400,4,0.20833333333333334,0.21258513019884867
QFM-Kernel SVM,50,400,4,0.09791666666666667,0.09611028822971553
Logistic Regression,100,800,0,0.15,0.148463572819109
Random Forest,100,800,0,0.32083333333333336,0.31500313216024356
RBF-SVM,100,800,0,0.28125,0.2884456576618824
QFM-Kernel SVM,100,800,0,0.1375,0.1370253557134004
Logistic Regression,100,800,1,0.12291666666666666,0.12378848437387219
