model,snr_db,examples,accuracy,macro_f1
logistic_regression,-20.0,1017,0.09832841691248771,0.03568753436896408
logistic_regression,-18.0,1006,0.09443339960238568,0.05142736027359422
logistic_regression,-16.0,1019,0.09421000981354269,0.04834135723447169
logistic_regression,-14.0,1011,0.11275964391691394,0.06288102077843359
logistic_regression,-12.0,994,0.11066398390342053,0.07853454286203919
logistic_regression,-10.0,991,0.19475277497477295,0.1713074023899377
logistic_regression,-8.0,983,0.24109867751780265,0.2153882436444009
logistic_regression,-6.0,975,0.3343589743589744,0.31611283490504705
logistic_regression,-4.0,1006,0.3866799204771372,0.36268263128021877
logistic_regression,-2.0,936,0.4358974358974359,0.4108536234800919
logistic_regression,0.0,1058,0.5444234404536862,0.5321571346306714
logistic_regression,2.0,1008,0.6359126984126984,0.6200815645847781
logistic_regression,4.0,1043,0.6941514860977949,0.6907706315503325
logistic_regression,6.0,966,0.7267080745341615,0.7260702556859079
logistic_regression,8.0,1017,0.7099311701081613,0.7013791624127262
logistic_regression,10.0,1004,0.7260956175298805,0.7008172346437666
logistic_regression,12.0,1020,0.7235294117647059,0.707680532261292
logistic_regression,14.0,994,0.6951710261569416,0.6775528104932008
logistic_regression,16.0,1022,0.7025440313111546,0.6821906352486127
logistic_regression,18.0,930,0.7053763440860215,0.694014808558093
random_forest,-20.0,1017,0.10521140609636184,0.03657413830966378
random_forest,-18.0,1006,0.09343936381709742,0.03895881515073814
random_forest,-16.0,1019,0.10304219823356231,0.04689459268069433
random_forest,-14.0,1011,0.13056379821958458,0.084892991207858
random_forest,-12.0,994,0.13380281690140844,0.10347328394225684
random_forest,-10.0,991,0.20282542885973764,0.167639296780958
random_forest,-8.0,983,0.28992878942014244,0.2526787940973849
random_forest,-6.0,975,0.37743589743589745,0.34996785484427256
random_forest,-4.0,1006,0.4721669980119284,0.4449704733706769
random_forest,-2.0,936,0.5181623931623932,0.5130512629252002
random_forest,0.0,1058,0.6521739130434783,0.6582903084063031
random_forest,2.0,1008,0.6984126984126984,0.6913128279841555
random_forest,4.0,1043,0.7286673058485139,0.7185778727942576
random_forest,6.0,966,0.7681159420289855,0.7691555105927695
random_forest,8.0,1017,0.7541789577187807,0.7509169458548299
random_forest,10.0,1004,0.797808764940239,0.782521505589774
random_forest,12.0,1020,0.7715686274509804,0.7667222453763242
random_forest,14.0,994,0.7756539235412475,0.7702002144472103
random_forest,16.0,1022,0.7710371819960861,0.7594384029075162
random_forest,18.0,930,0.8032258064516129,0.798360197029628
rbf_svm,-20.0,1017,0.10422812192723697,0.017649017649017648
rbf_svm,-18.0,1006,0.09045725646123261,0.023841311911790897
rbf_svm,-16.0,1019,0.10107948969578018,0.030572621058850922
rbf_svm,-14.0,1011,0.11275964391691394,0.04076305825855086
rbf_svm,-12.0,994,0.12072434607645875,0.08200561270749
rbf_svm,-10.0,991,0.19677093844601412,0.15237630053745416
rbf_svm,-8.0,983,0.2695829094608342,0.22646119294563827
rbf_svm,-6.0,975,0.3292307692307692,0.2954388074619598
rbf_svm,-4.0,1006,0.45825049701789267,0.4380550626395168
rbf_svm,-2.0,936,0.5149572649572649,0.5096300957513643
rbf_svm,0.0,1058,0.6238185255198487,0.6246112479827125
rbf_svm,2.0,1008,0.7073412698412699,0.6907952356434129
rbf_svm,4.0,1043,0.7488015340364333,0.7216903243562682
rbf_svm,6.0,966,0.7681159420289855,0.7618267545088341
rbf_svm,8.0,1017,0.7581120943952803,0.750951885807693
rbf_svm,10.0,1004,0.7808764940239044,0.7539113492754107
rbf_svm,12.0,1020,0.7784313725490196,0.7662552140730775
rbf_svm,14.0,994,0.7645875251509054,0.750891811787911
rbf_svm,16.0,1022,0.7622309197651663,0.7456235628373998
rbf_svm,18.0,930,0.7741935483870968,0.7637815561080502
