model,condition,examples,accuracy,macro_f1
logistic_regression,heldout_clean,20000,0.44825,0.447465823810281
logistic_regression,clean,20000,0.44825,0.447465823810281
logistic_regression,low_snr,20000,0.0909,0.015150126251052092
logistic_regression,narrowband_jam,20000,0.0909,0.015150126251052092
logistic_regression,broadband_jam,20000,0.0909,0.015150126251052092
logistic_regression,frequency_offset,20000,0.09065,0.015117466802860063
logistic_regression,multipath,20000,0.09065,0.015117466802860063
logistic_regression,impulsive_noise,20000,0.09035,0.01945114440226861
random_forest,heldout_clean,20000,0.4971,0.5083544714490592
random_forest,clean,20000,0.4971,0.5083544714490592
random_forest,low_snr,20000,0.13905,0.08483760097063223
random_forest,narrowband_jam,20000,0.0909,0.015150126251052092
random_forest,broadband_jam,20000,0.16945,0.10658417760496496
random_forest,frequency_offset,20000,0.0969,0.043109321767175184
random_forest,multipath,20000,0.1402,0.07455251680181804
random_forest,impulsive_noise,20000,0.1112,0.06676980449675023
rbf_svm,heldout_clean,20000,0.4881,0.5022801568990076
rbf_svm,clean,20000,0.4881,0.5022801568990076
rbf_svm,low_snr,20000,0.09095,0.01515776491714894
rbf_svm,narrowband_jam,20000,0.09095,0.01515776491714894
rbf_svm,broadband_jam,20000,0.09095,0.01515776491714894
rbf_svm,frequency_offset,20000,0.09095,0.01515776491714894
rbf_svm,multipath,20000,0.09095,0.01515776491714894
rbf_svm,impulsive_noise,20000,0.09095,0.01515776491714894
