snr_db,examples,accuracy,macro_f1
-20.0,2779,0.0982367758186398,0.029443854742667964
-18.0,2795,0.09588550983899821,0.033215732693514584
-16.0,2814,0.09523809523809523,0.02926545445714448
-14.0,2829,0.1007423117709438,0.036635338501910544
-12.0,2716,0.11008836524300442,0.07116541902997411
-10.0,2717,0.16820022083179978,0.14161072333799835
-8.0,2750,0.29163636363636364,0.27801310851903643
-6.0,2797,0.4944583482302467,0.478840756026222
-4.0,2738,0.6369612856099343,0.6264125856231556
-2.0,2697,0.739340007415647,0.731360309775651
0.0,2803,0.8094898323225116,0.8060686336729027
2.0,2725,0.8205504587155963,0.8093250763905108
4.0,2826,0.8223637650389243,0.8059548190368748
6.0,2694,0.848181143281366,0.840276415647677
8.0,2698,0.8409933283914011,0.8283673848673178
10.0,2699,0.8506854390515005,0.8360194163609985
12.0,2798,0.8502501786990707,0.840716668154564
14.0,2708,0.8600443131462334,0.8555346307454027
16.0,2711,0.8417558096643305,0.8339260298721795
18.0,2706,0.8422025129342202,0.8344015926902923
