model,snr_db,examples,accuracy,macro_f1
logistic_regression,-20.0,115,0.13043478260869565,0.04904622947081256
logistic_regression,-18.0,109,0.07339449541284404,0.046282664703717336
logistic_regression,-16.0,126,0.0873015873015873,0.044339498884953435
logistic_regression,-14.0,98,0.15306122448979592,0.11541043344840812
logistic_regression,-12.0,118,0.09322033898305085,0.05292714947887362
logistic_regression,-10.0,95,0.15789473684210525,0.06915573246842598
logistic_regression,-8.0,132,0.21212121212121213,0.18602349404980983
logistic_regression,-6.0,128,0.2421875,0.23101028553713973
logistic_regression,-4.0,110,0.3181818181818182,0.30326442528647646
logistic_regression,-2.0,104,0.4326923076923077,0.3928415167719981
logistic_regression,0.0,107,0.6448598130841121,0.602429965601321
logistic_regression,2.0,95,0.6736842105263158,0.6667293233082706
logistic_regression,4.0,115,0.6608695652173913,0.6374668355231015
logistic_regression,6.0,103,0.7184466019417476,0.7108897364948589
logistic_regression,8.0,110,0.7181818181818181,0.6831027706696156
logistic_regression,10.0,90,0.7777777777777778,0.7529695497609936
logistic_regression,12.0,117,0.7350427350427351,0.7203520941424167
logistic_regression,14.0,111,0.6576576576576577,0.6445231239348886
logistic_regression,16.0,103,0.6601941747572816,0.6198959537194833
logistic_regression,18.0,114,0.6403508771929824,0.5980218036177788
random_forest,-20.0,115,0.1391304347826087,0.03259660828468168
random_forest,-18.0,109,0.06422018348623854,0.012987012987012986
random_forest,-16.0,126,0.07142857142857142,0.02274923144488362
random_forest,-14.0,98,0.10204081632653061,0.039010797631487286
random_forest,-12.0,118,0.11864406779661017,0.07152067790365663
random_forest,-10.0,95,0.21052631578947367,0.17442140385641897
random_forest,-8.0,132,0.24242424242424243,0.19216353439044218
random_forest,-6.0,128,0.2734375,0.24399212961836583
random_forest,-4.0,110,0.4090909090909091,0.35754366625510003
random_forest,-2.0,104,0.4230769230769231,0.3927591657489866
random_forest,0.0,107,0.6355140186915887,0.5895979351966331
random_forest,2.0,95,0.6421052631578947,0.6405409919848423
random_forest,4.0,115,0.6608695652173913,0.648232684804351
random_forest,6.0,103,0.7669902912621359,0.7768520698328523
random_forest,8.0,110,0.7727272727272727,0.7610102789130923
random_forest,10.0,90,0.7444444444444445,0.7260329853511976
random_forest,12.0,117,0.7264957264957265,0.732560960460647
random_forest,14.0,111,0.7297297297297297,0.7156512145682267
random_forest,16.0,103,0.7961165048543689,0.795969228153298
random_forest,18.0,114,0.6929824561403509,0.6628024868254744
rbf_svm,-20.0,115,0.1391304347826087,0.03534170747285501
rbf_svm,-18.0,109,0.06422018348623854,0.011570247933884297
rbf_svm,-16.0,126,0.09523809523809523,0.02663081193615545
rbf_svm,-14.0,98,0.1326530612244898,0.08306277056277056
rbf_svm,-12.0,118,0.11864406779661017,0.059788359788359786
rbf_svm,-10.0,95,0.2,0.12813852813852813
rbf_svm,-8.0,132,0.1893939393939394,0.14973711770050444
rbf_svm,-6.0,128,0.28125,0.24607921287973192
rbf_svm,-4.0,110,0.35454545454545455,0.3036140874376168
rbf_svm,-2.0,104,0.5096153846153846,0.49142045089413516
rbf_svm,0.0,107,0.6635514018691588,0.5919363435568968
rbf_svm,2.0,95,0.6421052631578947,0.6372940636309621
rbf_svm,4.0,115,0.6782608695652174,0.6571841435796556
rbf_svm,6.0,103,0.7669902912621359,0.777789942646402
rbf_svm,8.0,110,0.7454545454545455,0.732824347369802
rbf_svm,10.0,90,0.7555555555555555,0.7405491122068661
rbf_svm,12.0,117,0.7948717948717948,0.8013731479248721
rbf_svm,14.0,111,0.7027027027027027,0.6944395814744204
rbf_svm,16.0,103,0.7378640776699029,0.7257999612629503
rbf_svm,18.0,114,0.7192982456140351,0.684751213786763
