model,condition,accuracy,macro_f1
logistic_regression,heldout_clean,0.43,0.4292747322355201
logistic_regression,clean,0.43,0.4292747322355201
logistic_regression,low_snr,0.09090909090909091,0.01515151515151515
logistic_regression,narrowband_jam,0.09090909090909091,0.01515151515151515
logistic_regression,broadband_jam,0.09090909090909091,0.01515151515151515
logistic_regression,frequency_offset,0.09090909090909091,0.01515151515151515
logistic_regression,multipath,0.09090909090909091,0.01515151515151515
logistic_regression,impulsive_noise,0.0890909090909091,0.0187432587841168
random_forest,heldout_clean,0.45227272727272727,0.46028747919787827
random_forest,clean,0.45227272727272727,0.46028747919787827
random_forest,low_snr,0.12727272727272726,0.08655282470272171
random_forest,narrowband_jam,0.09090909090909091,0.01515151515151515
random_forest,broadband_jam,0.14454545454545453,0.10324939761829742
random_forest,frequency_offset,0.09863636363636363,0.05380258207425315
random_forest,multipath,0.155,0.10111639853021667
random_forest,impulsive_noise,0.09818181818181818,0.06347766340052906
rbf_svm,heldout_clean,0.45545454545454545,0.46999712994315845
rbf_svm,clean,0.45545454545454545,0.46999712994315845
rbf_svm,low_snr,0.09090909090909091,0.01515151515151515
rbf_svm,narrowband_jam,0.09090909090909091,0.01515151515151515
rbf_svm,broadband_jam,0.09090909090909091,0.01515151515151515
rbf_svm,frequency_offset,0.09090909090909091,0.01515151515151515
rbf_svm,multipath,0.09090909090909091,0.01515151515151515
rbf_svm,impulsive_noise,0.09090909090909091,0.01515151515151515
