snr_db,examples,accuracy,macro_f1
-20.0,115,0.0782608695652174,0.014742014742014743
-18.0,109,0.08256880733944955,0.015012510425354463
-16.0,126,0.05555555555555555,0.021856192587899906
-14.0,98,0.14285714285714285,0.025974025974025972
-12.0,118,0.07627118644067797,0.026331466698439176
-10.0,95,0.09473684210526316,0.04608841450946714
-8.0,132,0.12878787878787878,0.11190833495963409
-6.0,128,0.2734375,0.17879924938209396
-4.0,110,0.3181818181818182,0.2187229437229437
-2.0,104,0.38461538461538464,0.31373871451043855
0.0,107,0.4953271028037383,0.36630517745068825
2.0,95,0.5157894736842106,0.4069691917989132
4.0,115,0.4608695652173913,0.37696280991735537
6.0,103,0.46601941747572817,0.39265745296493954
8.0,110,0.5272727272727272,0.41016222834404653
10.0,90,0.45555555555555555,0.3870987664647951
12.0,117,0.5384615384615384,0.42228184002377545
14.0,111,0.5225225225225225,0.405150025327594
16.0,103,0.44660194174757284,0.3520028217396638
18.0,114,0.47368421052631576,0.36261721742665476
