snr_db,examples,accuracy,macro_f1
-20.0,115,0.0782608695652174,0.014106583072100314
-18.0,109,0.07339449541284404,0.021035389456442087
-16.0,126,0.09523809523809523,0.027625088090204367
-14.0,98,0.07142857142857142,0.053719008264462804
-12.0,118,0.1016949152542373,0.03537252221462748
-10.0,95,0.11578947368421053,0.07751937984496124
-8.0,132,0.17424242424242425,0.12114361828647544
-6.0,128,0.25,0.2065296932169997
-4.0,110,0.32727272727272727,0.21732395564222964
-2.0,104,0.3942307692307692,0.2962547553456644
0.0,107,0.5233644859813084,0.43755094807726386
2.0,95,0.5894736842105263,0.4934029535943411
4.0,115,0.5565217391304348,0.4742904663617905
6.0,103,0.5825242718446602,0.5012110112110112
8.0,110,0.6545454545454545,0.508262284741498
10.0,90,0.5555555555555556,0.5212218441095445
12.0,117,0.6324786324786325,0.5813627745022104
14.0,111,0.6396396396396397,0.5380283297814855
16.0,103,0.6019417475728155,0.5478736279150286
18.0,114,0.6403508771929824,0.5146036758939986
