epoch,train_loss,model,condition,examples,accuracy,macro_f1
1,2.1601201378504435,iq_cnn,heldout_clean,2200,0.12363636363636364,0.055131926160887315
2,1.9340005261103312,iq_cnn,heldout_clean,2200,0.09090909090909091,0.01515151515151515
3,1.8244372908274333,iq_cnn,heldout_clean,2200,0.13045454545454546,0.04831782756420911
4,1.7395880117416382,iq_cnn,heldout_clean,2200,0.2595454545454545,0.1711884299911091
5,1.637405514717102,iq_cnn,heldout_clean,2200,0.32136363636363635,0.26976378514565985
6,1.5355091263453167,iq_cnn,heldout_clean,2200,0.20954545454545453,0.14474747187977755
7,1.4675606886545818,iq_cnn,heldout_clean,2200,0.1590909090909091,0.08378338114794986
8,1.405700686454773,iq_cnn,heldout_clean,2200,0.2868181818181818,0.2753689798617827
9,1.3844141543706259,iq_cnn,heldout_clean,2200,0.1940909090909091,0.1249978394766181
10,1.3426842524210612,iq_cnn,heldout_clean,2200,0.14272727272727273,0.06990974051244145
11,1.3235719429651895,iq_cnn,heldout_clean,2200,0.23772727272727273,0.19917178350998296
12,1.3065471404393514,iq_cnn,heldout_clean,2200,0.13090909090909092,0.060459635471140305
13,1.2845782194137574,iq_cnn,heldout_clean,2200,0.37681818181818183,0.3549441001365135
14,1.2804152444203694,iq_cnn,heldout_clean,2200,0.20772727272727273,0.15005163496077403
15,1.2610938034057617,iq_cnn,heldout_clean,2200,0.2831818181818182,0.26130823773986633
16,1.2412459160486857,iq_cnn,heldout_clean,2200,0.21727272727272728,0.1318756677878104
17,1.2212900012334187,iq_cnn,heldout_clean,2200,0.18181818181818182,0.11213517762343427
18,1.2006253105799356,iq_cnn,heldout_clean,2200,0.2686363636363636,0.21145715196853077
19,1.205751171429952,iq_cnn,heldout_clean,2200,0.32272727272727275,0.30563483816932274
20,1.1903322019577027,iq_cnn,heldout_clean,2200,0.23454545454545456,0.16552261270293253
21,1.1804642210006713,iq_cnn,heldout_clean,2200,0.25636363636363635,0.2158260900325011
22,1.1631944716771443,iq_cnn,heldout_clean,2200,0.09363636363636364,0.03033354185241806
23,1.1413151807785034,iq_cnn,heldout_clean,2200,0.23045454545454547,0.16193512273538987
24,1.1162894611358642,iq_cnn,heldout_clean,2200,0.21,0.16290720574233122
25,1.1189877651532492,iq_cnn,heldout_clean,2200,0.22454545454545455,0.15081858627983866
26,1.1041944182713828,iq_cnn,heldout_clean,2200,0.21363636363636362,0.1329727558655721
27,1.0899687786102294,iq_cnn,heldout_clean,2200,0.2340909090909091,0.19573576612758056
28,1.0673373330434164,iq_cnn,heldout_clean,2200,0.3613636363636364,0.32299128220512907
29,1.063200424194336,iq_cnn,heldout_clean,2200,0.12545454545454546,0.04894416819735526
30,1.0625919078191122,iq_cnn,heldout_clean,2200,0.12727272727272726,0.06895078301606163
