model,snr_db,examples,accuracy,macro_f1
logistic_regression,-6.0,803,0.3001245330012453,0.29056521804086743
logistic_regression,0.0,761,0.48226018396846254,0.4671110390964001
logistic_regression,6.0,811,0.6041923551171393,0.5800299091762943
logistic_regression,12.0,821,0.6650426309378806,0.650035009097715
logistic_regression,18.0,804,0.7126865671641791,0.7097939582505135
random_forest,-6.0,803,0.34744707347447074,0.3396824070165069
random_forest,0.0,761,0.49014454664914586,0.48223890209729414
random_forest,6.0,811,0.6683107274969173,0.6596754748301394
random_forest,12.0,821,0.6699147381242387,0.6640649736806712
random_forest,18.0,804,0.777363184079602,0.7905693752762553
rbf_svm,-6.0,803,0.29265255292652553,0.28658728541192674
rbf_svm,0.0,761,0.4756898817345598,0.4647676538217892
rbf_svm,6.0,811,0.6288532675709001,0.6142085222298458
rbf_svm,12.0,821,0.6626065773447016,0.6545658617436438
rbf_svm,18.0,804,0.7810945273631841,0.7877740726265245
