model,condition,examples,accuracy,macro_f1
logistic_regression,heldout_clean,4000,0.55425,0.5432834239571942
logistic_regression,clean,4000,0.55425,0.5432834239571942
logistic_regression,low_snr,4000,0.28,0.2870314218967745
logistic_regression,narrowband_jam,4000,0.2435,0.16935234211925443
logistic_regression,broadband_jam,4000,0.35925,0.3705565949640995
logistic_regression,frequency_offset,4000,0.476,0.46439532960765134
logistic_regression,multipath,4000,0.4045,0.37264294517111324
logistic_regression,impulsive_noise,4000,0.26225,0.2183067378959207
random_forest,heldout_clean,4000,0.59225,0.5897310956059217
random_forest,clean,4000,0.59225,0.5897310956059217
random_forest,low_snr,4000,0.28025,0.2744975327938809
random_forest,narrowband_jam,4000,0.215,0.09888725499330209
random_forest,broadband_jam,4000,0.3885,0.38683413479046996
random_forest,frequency_offset,4000,0.44,0.42686759104349975
random_forest,multipath,4000,0.36725,0.33344820306011597
random_forest,impulsive_noise,4000,0.267,0.21168232660588326
rbf_svm,heldout_clean,4000,0.56975,0.5658676149948219
rbf_svm,clean,4000,0.56975,0.5658676149948219
rbf_svm,low_snr,4000,0.25475,0.25601227722599773
rbf_svm,narrowband_jam,4000,0.203,0.12342768310775336
rbf_svm,broadband_jam,4000,0.35175,0.3630226612409287
rbf_svm,frequency_offset,4000,0.46275,0.45570370940787536
rbf_svm,multipath,4000,0.39825,0.3652058620315484
rbf_svm,impulsive_noise,4000,0.26625,0.2016690116118811
