model,condition,accuracy,macro_f1
logistic_regression,heldout_clean,0.543,0.5414433241661001
logistic_regression,clean,0.543,0.5414433241661001
logistic_regression,low_snr,0.278,0.2871169298792644
logistic_regression,narrowband_jam,0.263,0.19504297570536158
logistic_regression,broadband_jam,0.361,0.352984016662255
logistic_regression,frequency_offset,0.471,0.4787256419027839
logistic_regression,multipath,0.387,0.3813395786550696
logistic_regression,impulsive_noise,0.253,0.21211738479702713
random_forest,heldout_clean,0.567,0.5650026224342656
random_forest,clean,0.567,0.5650026224342656
random_forest,low_snr,0.298,0.2911016006734671
random_forest,narrowband_jam,0.214,0.1211721251741021
random_forest,broadband_jam,0.36,0.3592730857655858
random_forest,frequency_offset,0.445,0.43549030431972474
random_forest,multipath,0.374,0.33625479811870146
random_forest,impulsive_noise,0.271,0.21824827088893112
rbf_svm,heldout_clean,0.544,0.5458910311645749
rbf_svm,clean,0.544,0.5458910311645749
rbf_svm,low_snr,0.262,0.27560766978772955
rbf_svm,narrowband_jam,0.238,0.1742334514245748
rbf_svm,broadband_jam,0.328,0.3383435870897339
rbf_svm,frequency_offset,0.471,0.47631731867232513
rbf_svm,multipath,0.381,0.3567674125990561
rbf_svm,impulsive_noise,0.282,0.2173841358874271
