model,condition,accuracy,accuracy_drop_pct,macro_f1,macro_f1_drop_pct
logistic_regression,low_snr,0.278,48.80294659300184,0.2871169298792644,46.971932783275996
logistic_regression,narrowband_jam,0.263,51.56537753222836,0.19504297570536158,63.97721294176901
logistic_regression,broadband_jam,0.361,33.517495395948444,0.352984016662255,34.80683925581672
logistic_regression,frequency_offset,0.471,13.259668508287303,0.4787256419027839,11.583425164565538
logistic_regression,multipath,0.387,28.729281767955804,0.3813395786550696,29.569806915176773
logistic_regression,impulsive_noise,0.253,53.40699815837938,0.21211738479702713,60.823714075020106
random_forest,low_snr,0.298,47.44268077601411,0.2911016006734671,48.47783194009247
random_forest,narrowband_jam,0.214,62.257495590828924,0.1211721251741021,78.55370570634835
random_forest,broadband_jam,0.36,36.507936507936506,0.3592730857655858,36.41213836890024
random_forest,frequency_offset,0.445,21.516754850088173,0.43549030431972474,22.922427785653113
random_forest,multipath,0.374,34.03880070546737,0.33625479811870146,40.486152671296225
random_forest,impulsive_noise,0.271,52.20458553791887,0.21824827088893112,61.37216674346978
rbf_svm,low_snr,0.262,51.83823529411765,0.27560766978772955,49.51232864189713
rbf_svm,narrowband_jam,0.238,56.25,0.1742334514245748,68.082741522081
rbf_svm,broadband_jam,0.328,39.70588235294118,0.3383435870897339,38.01994028589742
rbf_svm,frequency_offset,0.471,13.419117647058835,0.47631731867232513,12.744981785801635
rbf_svm,multipath,0.381,29.963235294117652,0.3567674125990561,34.64493969832268
rbf_svm,impulsive_noise,0.282,48.16176470588236,0.2173841358874271,60.178108179635906
