model,snr_db,examples,accuracy,macro_f1
logistic_regression,-6.0,197,0.34517766497461927,0.31905008006908314
logistic_regression,0.0,187,0.45454545454545453,0.4228583984976736
logistic_regression,6.0,223,0.57847533632287,0.5854938879037695
logistic_regression,12.0,197,0.649746192893401,0.6579809352596608
logistic_regression,18.0,196,0.6887755102040817,0.686206573692576
random_forest,-6.0,197,0.3756345177664975,0.35590178965178965
random_forest,0.0,187,0.4385026737967914,0.4149394407207896
random_forest,6.0,223,0.5560538116591929,0.5648698617700096
random_forest,12.0,197,0.6700507614213198,0.6800950437166904
random_forest,18.0,196,0.7704081632653061,0.7724706732068529
rbf_svm,-6.0,197,0.29949238578680204,0.28237581369619313
rbf_svm,0.0,187,0.4919786096256685,0.4614312220542871
rbf_svm,6.0,223,0.57847533632287,0.5942896209159918
rbf_svm,12.0,197,0.6395939086294417,0.6592507686257687
rbf_svm,18.0,196,0.7295918367346939,0.7297307717497851
