model,condition,examples,accuracy,macro_f1
logistic_regression,heldout_clean,1000,0.521,0.5181406806775083
logistic_regression,clean,1000,0.521,0.5181406806775083
logistic_regression,low_snr,1000,0.264,0.2715796762870964
logistic_regression,narrowband_jam,1000,0.249,0.19474063803981362
logistic_regression,broadband_jam,1000,0.363,0.36946851412178305
logistic_regression,frequency_offset,1000,0.411,0.42138285295045685
logistic_regression,multipath,1000,0.372,0.37527491773026245
logistic_regression,impulsive_noise,1000,0.239,0.211853106082551
random_forest,heldout_clean,1000,0.57,0.5677242991727472
random_forest,clean,1000,0.57,0.5677242991727472
random_forest,low_snr,1000,0.274,0.25862028338669485
random_forest,narrowband_jam,1000,0.2,0.12942803729098032
random_forest,broadband_jam,1000,0.361,0.3639842333979849
random_forest,frequency_offset,1000,0.427,0.41957992005783146
random_forest,multipath,1000,0.383,0.35923716941496464
random_forest,impulsive_noise,1000,0.285,0.22188187842812246
rbf_svm,heldout_clean,1000,0.519,0.517107900361891
rbf_svm,clean,1000,0.519,0.517107900361891
rbf_svm,low_snr,1000,0.235,0.23498678313558546
rbf_svm,narrowband_jam,1000,0.217,0.16449604127924347
rbf_svm,broadband_jam,1000,0.337,0.3522612092975803
rbf_svm,frequency_offset,1000,0.412,0.40735589705014535
rbf_svm,multipath,1000,0.365,0.35252159227796526
rbf_svm,impulsive_noise,1000,0.266,0.2116572809726992
