model,condition,accuracy,accuracy_drop_pct,macro_f1,macro_f1_drop_pct
logistic_regression,low_snr,0.258,50.19305019305019,0.25954578966304903,49.23514601873906
logistic_regression,narrowband_jam,0.277,46.52509652509652,0.20778960605794794,59.35819639359299
logistic_regression,broadband_jam,0.363,29.92277992277993,0.37484526716211297,26.683591062080232
logistic_regression,frequency_offset,0.451,12.934362934362934,0.4552675348161732,10.953708949176564
logistic_regression,multipath,0.398,23.166023166023166,0.38507507058235696,24.682732263484883
logistic_regression,impulsive_noise,0.242,53.28185328185329,0.19562181223484212,61.7381089227308
random_forest,low_snr,0.256,53.873873873873876,0.22947770540262574,58.32244198782244
random_forest,narrowband_jam,0.198,64.32432432432432,0.1085971819309694,80.27666634566589
random_forest,broadband_jam,0.37,33.33333333333334,0.361814991488275,34.287449532534986
random_forest,frequency_offset,0.427,23.063063063063073,0.4150594958557534,24.617225073423622
random_forest,multipath,0.378,31.8918918918919,0.3378507217710557,38.6398211043463
random_forest,impulsive_noise,0.262,52.792792792792795,0.19507108997496564,64.57134406732082
rbf_svm,low_snr,0.231,56.00000000000001,0.22290707278943606,57.06763785204097
rbf_svm,narrowband_jam,0.233,55.61904761904762,0.1674775435526542,67.74347955192435
rbf_svm,broadband_jam,0.341,35.047619047619044,0.3534695015503258,31.921044680569068
rbf_svm,frequency_offset,0.439,16.380952380952387,0.4315544154658236,16.881729146247302
rbf_svm,multipath,0.382,27.23809523809524,0.35042061644700795,32.50826624229496
rbf_svm,impulsive_noise,0.28,46.666666666666664,0.2129692114758422,58.98169044603125
